Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Suriname,SUR,..,50,33.1,31.5,30.1,28.7,27.5,26.2,25,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sweden,SWE,..,32.3,23.1,22.3,21.6,20.9,20.1,19.5,18.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Switzerland,CHE,..,31.2,27.7,27.2,27,26.7,26.3,26.1,25.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Tanzania,TZA,..,22.3,17.1,16.6,16.2,15.9,15.4,15.2,14.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Thailand,THA,..,24.9,21.7,21.3,21,20.8,20.6,20.1,19.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Timor-Leste,TLS,..,51.8,46.8,46,45.2,44.6,44.1,43.2,42.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Togo,TGO,..,10,8.1,8,7.8,7.7,7.6,7.4,7.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Tonga,TON,..,36.3,30.3,29.9,29.4,29.1,28.6,28.3,27.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Tunisia,TUN,..,31.8,31.7,31.8,31.9,32.1,32.4,32.6,32.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Turkey,TUR,..,38.4,30.8,30.2,29.5,29,28.4,27.7,27.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Uganda,UGA,..,17.1,12.2,11.8,11.4,11,10.7,10.3,10,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Ukraine,UKR,..,36,31.4,31,30.6,30.2,29.8,29.4,28.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,United Arab Emirates,ARE,..,25.2,28.2,28.2,28.5,28.6,28.6,28.6,28.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,United Kingdom,GBR,..,38.2,27.2,26.3,25.5,24.6,23.7,23.1,22.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,United States,USA,..,31.4,24.8,24.3,23.9,23.3,22.8,22.3,21.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Uruguay,URY,..,52.7,25.7,23.9,22.3,20.8,19.3,18.1,16.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Uzbekistan,UZB,..,15.8,13.7,13.5,13.3,13.2,13,12.8,12.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Vanuatu,VUT,..,31.9,22.4,21.7,21.1,20.4,19.8,19.2,18.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Vietnam,VNM,..,25.1,23.7,23.4,23.5,23.2,23.1,23.1,22.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Yemen, Rep.",YEM,..,23.3,19.9,19.6,19.5,19,18.9,18.7,18.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Zambia,ZMB,..,18,15.2,14.9,14.7,14.4,14.3,14,13.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Zimbabwe,ZWE,..,18,16.4,16.4,16.2,16.1,16,15.9,15.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Arab World,ARB,..,19.05958501,..,20.68981658,20.87618734,21.12637447,21.43410982,21.70507828,21.95585753,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Central Europe and the Baltics,CEB,..,39.51142452,33.22302182,32.74942511,32.2313639,31.77217315,31.24361852,30.8036797,30.3940435,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Early-demographic dividend,EAR,..,23.90465926,18.92984505,18.5115662,18.20341992,17.86654596,17.55133399,17.28559017,17.02605393,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,East Asia & Pacific,EAS,..,30.53318012,27.56706371,27.20027208,27.14210097,26.87961072,26.64520621,26.40691089,26.23293502,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,East Asia & Pacific (excluding high income),EAP,..,30.35353242,27.85732827,27.51940752,27.50554138,27.27088429,27.06443191,26.85645875,26.71343177,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,East Asia & Pacific (IDA & IBRD countries),TEA,..,30.35353242,27.85732827,27.51940752,27.50554138,27.27088429,27.06443191,26.85645875,26.71343177,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Euro area,EMU,..,34.95858645,31.0749701,30.77883496,30.39580514,30.0402113,29.74449488,29.41115192,29.13315464,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Europe & Central Asia,ECS,..,36.9880262,31.83045435,31.42020557,30.97485222,30.52725942,30.11328236,29.69398369,29.29005939,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Europe & Central Asia (excluding high income),ECA,..,38.30370396,33.46073079,33.07089042,32.65357931,32.21505652,31.83555958,31.39319981,30.98143145,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Europe & Central Asia (IDA & IBRD countries),TEC,..,38.47116528,33.33545018,32.93375016,32.49653479,32.05258202,31.64323944,31.19541299,30.77493408,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,European Union,EUU,..,36.14353289,31.36410377,30.9974541,30.5591676,30.15945573,29.77983972,29.4007806,29.06639852,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,High income,HIC,..,33.46792778,27.04886053,26.52386007,26.03994652,25.51265826,25.02367091,24.5553356,24.09987478,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,IBRD only,IBD,..,27.66058229,23.05068337,22.60771817,22.35336978,21.98473608,21.62613755,21.29536863,20.99655703,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,IDA & IBRD total,IBT,..,26.54736388,21.91779966,21.48065656,21.20668056,20.83749853,20.47546702,20.14094838,19.84119595,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,IDA blend,IDB,..,17.73257957,15.18069345,15.01148972,14.82303318,14.68699062,14.48122856,14.29902173,14.15804472,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,IDA only,IDX,..,22.59904687,17.41697815,16.97410404,16.61781874,16.22002631,15.86652823,15.54773607,15.28092532,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,IDA total,IDA,..,20.63406943,16.50366452,16.1718386,15.8839349,15.59303676,15.29992556,15.03707123,14.82213203,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Late-demographic dividend,LTE,..,30.40868984,26.56737462,26.16797178,26.01896863,25.67749138,25.34271847,25.00935511,24.74799478,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Latin America & Caribbean,LCN,..,25.78671174,17.68478688,17.11762229,16.47820881,15.93878356,15.37471194,14.82009053,14.34907467,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Latin America & Caribbean (excluding high income),LAC,..,24.56819154,16.78621101,16.24393761,15.62866774,15.10976324,14.56805977,14.02916989,13.57759964,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,25.27057292,17.21411264,16.65644158,16.01943851,15.4888433,14.92643692,14.36948473,13.90988703,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Least developed countries: UN classification,LDC,..,23.49368531,18.11679156,17.65334876,17.27454044,16.86413628,16.48929878,16.15662554,15.8781784,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Low & middle income,LMY,..,26.35132983,21.80045428,21.36725069,21.1006607,20.73564081,20.38032666,20.05114039,19.75577441,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Lower middle income,LMC,..,23.51110973,19.07040266,18.68057965,18.4233752,18.12102719,17.82683777,17.59856049,17.36424955,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Middle East & North Africa,MEA,..,18.9995621,18.7788855,18.84364847,18.89314779,19.01548839,19.18498879,19.35310403,19.47542778,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Middle East & North Africa (excluding high income),MNA,..,18.93994631,18.53687308,18.60756695,18.69033413,18.85178899,19.06364825,19.28033265,19.43729831,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Middle East & North Africa (IDA & IBRD countries),TMN,..,18.93994631,18.53687308,18.60756695,18.69033413,18.85178899,19.06364825,19.28033265,19.43729831,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Middle income,MIC,..,26.80271495,22.27139207,21.84145313,21.58365737,21.22398381,20.87134361,20.54678191,20.2572953,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,North America,NAC,..,31.07625687,24.14445156,23.6133416,23.18145683,22.58029859,22.05937833,21.55073293,21.02852405,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,OECD members,OED,..,33.45863051,26.79213348,26.24198089,25.71975611,25.17052905,24.64821875,24.13634699,23.64600552,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Other small states,OSS,..,26.19806002,23.96414282,23.81606097,23.63330221,23.47475982,23.3976675,23.26975394,23.21205989,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Pacific island small states,PSS,..,38.26299508,28.94176011,28.07955398,27.37297644,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Post-demographic dividend,PST,..,33.78042866,27.48803643,26.95911709,26.48428057,25.94993573,25.46174637,24.98777947,24.51312202,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Small states,SST,..,26.03942419,23.33102983,23.14153705,22.92598412,22.73591209,22.60956483,22.44530333,22.35150735,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,South Asia,SAS,..,22.66238189,16.22341731,15.67914423,15.29929336,14.84653589,14.38528388,14.02435513,13.67474559,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,South Asia (IDA & IBRD),TSA,..,22.66238189,16.22341731,15.67914423,15.29929336,14.84653589,14.38528388,14.02435513,13.67474559,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sub-Saharan Africa,SSF,..,13.42953069,11.12296236,10.93586186,10.77399008,10.61173885,10.44014035,10.29971044,10.17691373,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sub-Saharan Africa (excluding high income),SSA,..,13.42715944,11.12075756,10.93377353,10.77194409,10.60971951,10.4381895,10.29778825,10.17503944,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,13.42953069,11.12296236,10.93586186,10.77399008,10.61173885,10.44014035,10.29971044,10.17691373,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Upper middle income,UMC,..,29.69653449,25.31057657,24.87836094,24.65696765,24.2792454,23.90768137,23.52665784,23.22037985,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,World,WLD,..,27.71647363,22.72830754,22.27035756,21.95827647,21.55787849,21.17287218,20.81367189,20.485784,..,..,..
